rank,team,ratio,f1_xg,f2_xg
1,usa,1.4046,81.27,57.858
2,guatemala,1.3751,85.135,61.91
3,saudi_arabia,1.3724,70.256,51.192
4,uae,1.372,62.693,45.696
5,france,1.3602,78.88,57.994
6,iceland,1.3443,77.545,57.685
7,singapore,1.2615,80.333,63.681
8,new_zealand,1.2436,72.189,58.049
9,panama,1.2169,78.587,64.578
10,rwanda,1.2141,68.895,56.746
11,peru,1.2085,75.46,62.441
12,uk,1.2037,86.9,72.196
13,india,1.1772,75.36,64.014
14,serbia,1.1487,84.046,73.168
15,south_korea,1.1398,80.456,70.586
16,netherlands,1.1226,67.179,59.842
17,mongolia,1.0823,50.699,46.844
18,china,1.0696,79.406,74.236
19,mexico,1.0683,77.936,72.953
20,canada,1.0509,73.939,70.36
21,pakistan,1.0411,86.865,83.437
22,philippines,1.0296,61.014,59.262
23,morocco,1.0241,73.205,71.482
24,kazakhstan,1.0172,52.787,51.894
25,oman,0.9984,72.123,72.239
26,thailand,0.9938,85.518,86.054
27,brazil,0.9923,80.83,81.457
28,indonesia,0.9885,57.101,57.767
29,germany,0.979,67.378,68.826
30,vietnam,0.9528,61.713,64.773
31,ethiopia,0.9382,68.039,72.521
32,switzerland,0.8992,52.475,58.358
