rank,team,ratio,f1_adj_xg60,f2_adj_xg60
1,usa,1.3803,2.7372,1.9831
2,saudi_arabia,1.36,2.2371,1.6449
3,guatemala,1.3575,2.8053,2.0665
4,uae,1.3573,1.9928,1.4682
5,france,1.3451,2.5526,1.8977
6,iceland,1.3266,2.5926,1.9543
7,singapore,1.2553,2.6258,2.0917
8,new_zealand,1.2332,2.431,1.9713
9,peru,1.2038,2.3851,1.9813
10,panama,1.2006,2.5479,2.1221
11,rwanda,1.1972,2.3368,1.9518
12,uk,1.1688,2.7139,2.322
13,india,1.1662,2.4208,2.0758
14,serbia,1.1174,2.8134,2.5178
15,netherlands,1.1142,2.1432,1.9236
16,south_korea,1.1009,2.7114,2.4629
17,mexico,1.0592,2.562,2.4188
18,china,1.0508,2.5024,2.3813
19,mongolia,1.0495,1.6429,1.5654
20,pakistan,1.0305,2.9683,2.8805
21,canada,1.014,2.3751,2.3424
22,kazakhstan,1.0069,1.6752,1.6637
23,philippines,1.0068,1.8476,1.8352
24,morocco,0.9957,2.3061,2.3162
25,oman,0.9913,2.4813,2.503
26,brazil,0.9872,2.7141,2.7494
27,thailand,0.9718,2.83,2.912
28,germany,0.9612,2.175,2.2628
29,indonesia,0.9609,1.806,1.8795
30,vietnam,0.9474,2.0131,2.125
31,ethiopia,0.9062,2.2288,2.4594
32,switzerland,0.8866,1.706,1.9243
