rank,team,ratio,f1_g60,f2_g60
1,brazil,1.4132,3.343,2.3655
2,serbia,1.2689,3.0092,2.3715
3,germany,1.1485,2.6434,2.3016
4,singapore,1.0932,2.1868,2.0004
5,ethiopia,1.0366,2.8097,2.7104
6,mongolia,1.0242,1.7155,1.675
7,thailand,1.021,2.97,2.909
8,france,0.9858,2.0349,2.0643
9,kazakhstan,0.9649,1.6116,1.6703
10,china,0.939,2.2021,2.3453
11,india,0.9362,2.2172,2.3682
12,morocco,0.8736,1.9267,2.2055
13,oman,0.8496,2.2643,2.6653
14,canada,0.8235,1.8913,2.2966
15,netherlands,0.8152,1.7821,2.186
16,mexico,0.8149,2.0008,2.4551
17,rwanda,0.8096,1.7254,2.1313
18,saudi_arabia,0.7923,1.5293,1.9303
19,iceland,0.7609,2.1661,2.8468
20,uae,0.7566,1.4596,1.9292
21,guatemala,0.7557,1.942,2.5696
22,panama,0.7551,1.9107,2.5305
23,peru,0.7294,1.9242,2.6382
24,indonesia,0.7259,1.6755,2.3083
25,uk,0.7246,1.8399,2.5393
26,vietnam,0.7223,1.5662,2.1684
27,new_zealand,0.7161,1.6807,2.3469
28,south_korea,0.6966,2.426,3.4828
29,philippines,0.6873,1.3873,2.0186
30,usa,0.6835,2.047,2.995
31,switzerland,0.6687,1.4982,2.2405
32,pakistan,0.6435,2.3993,3.7288
