rank,team,ratio,f1_xg_share,disparity_from_05
1,usa,0.0841,0.5841,0.0841
2,guatemala,0.079,0.579,0.079
3,saudi_arabia,0.0785,0.5785,0.0785
4,uae,0.0784,0.5784,0.0784
5,france,0.0763,0.5763,0.0763
6,iceland,0.0734,0.5734,0.0734
7,singapore,0.0578,0.5578,0.0578
8,new_zealand,0.0543,0.5543,0.0543
9,panama,0.0489,0.5489,0.0489
10,rwanda,0.0483,0.5483,0.0483
11,peru,0.0472,0.5472,0.0472
12,uk,0.0462,0.5462,0.0462
13,india,0.0407,0.5407,0.0407
14,serbia,0.0346,0.5346,0.0346
15,south_korea,0.0327,0.5327,0.0327
16,netherlands,0.0289,0.5289,0.0289
17,switzerland,0.0265,0.4735,0.0265
18,mongolia,0.0198,0.5198,0.0198
19,china,0.0168,0.5168,0.0168
20,mexico,0.0165,0.5165,0.0165
21,ethiopia,0.0159,0.4841,0.0159
22,canada,0.0124,0.5124,0.0124
23,vietnam,0.0121,0.4879,0.0121
24,pakistan,0.0101,0.5101,0.0101
25,philippines,0.0073,0.5073,0.0073
26,morocco,0.006,0.506,0.006
27,germany,0.0053,0.4947,0.0053
28,kazakhstan,0.0043,0.5043,0.0043
29,indonesia,0.0029,0.4971,0.0029
30,brazil,0.0019,0.4981,0.0019
31,thailand,0.0016,0.4984,0.0016
32,oman,0.0004,0.4996,0.0004
