rank,team,ratio,boot_mean,boot_lo,boot_hi,boot_ci_width,flag_wide_ci
1,usa,1.3703,1.3703,1.2638,1.4872,0.2235,WIDE
2,saudi_arabia,1.3617,1.3617,1.2647,1.4707,0.2061,WIDE
3,guatemala,1.357,1.357,1.2559,1.4719,0.216,WIDE
4,uae,1.3553,1.3553,1.2423,1.4728,0.2305,WIDE
5,france,1.3424,1.3424,1.2397,1.4554,0.2158,WIDE
6,iceland,1.3244,1.3244,1.2228,1.435,0.2122,WIDE
7,singapore,1.2572,1.2572,1.1612,1.3591,0.1978,
8,new_zealand,1.2291,1.2291,1.1476,1.317,0.1694,
9,peru,1.1989,1.1989,1.1066,1.2913,0.1847,
10,panama,1.1983,1.1983,1.102,1.3051,0.2031,WIDE
11,rwanda,1.1974,1.1974,1.1032,1.3002,0.197,
12,uk,1.1683,1.1683,1.0807,1.269,0.1884,
13,india,1.1667,1.1667,1.0911,1.2422,0.1511,
14,serbia,1.1178,1.1178,1.0432,1.2004,0.1572,
15,netherlands,1.1098,1.1098,1.0105,1.2128,0.2023,WIDE
16,south_korea,1.1031,1.1031,1.0154,1.1979,0.1826,
17,mexico,1.0567,1.0567,0.9749,1.1466,0.1717,
18,mongolia,1.0481,1.0481,0.9583,1.138,0.1797,
19,china,1.0477,1.0477,0.9563,1.1364,0.1801,
20,pakistan,1.034,1.034,0.9581,1.1111,0.153,
21,canada,1.0124,1.0124,0.9353,1.0985,0.1632,
22,kazakhstan,1.0022,1.0022,0.9159,1.0997,0.1838,
23,philippines,1.0015,1.0015,0.9235,1.0818,0.1583,
24,morocco,0.9957,0.9957,0.9163,1.0793,0.163,
25,oman,0.9926,0.9926,0.9136,1.0734,0.1598,
26,brazil,0.9829,0.9829,0.9014,1.068,0.1666,
27,thailand,0.9698,0.9698,0.8861,1.0583,0.1722,
28,germany,0.9628,0.9628,0.8817,1.0514,0.1697,
29,indonesia,0.9622,0.9622,0.8829,1.0513,0.1684,
30,vietnam,0.9472,0.9472,0.8607,1.0389,0.1782,
31,ethiopia,0.9061,0.9061,0.8367,0.9851,0.1484,
32,switzerland,0.8893,0.8893,0.834,0.9544,0.1204,
