decile,mean_pred,mean_actual,n,calibration_error
0,0.33701814501968247,0.5,10,0.16298185498031753
1,0.40569592952044736,0.25806451612903225,31,0.1476314133914151
2,0.46022823505876115,0.35135135135135137,74,0.10887688370740978
3,0.5140819575894314,0.4642857142857143,140,0.049796243303717125
4,0.5659726043711873,0.51010101010101,198,0.055871594270177294
5,0.6232452733014784,0.544,250,0.07924527330147835
6,0.6792230757748051,0.6068702290076335,262,0.07235284676717157
7,0.7338807865406901,0.638095238095238,210,0.09578554844545206
8,0.7866554754414585,0.7714285714285715,105,0.015226904012887066
9,0.8337697639301859,0.78125,32,0.05251976393018587
