,points,xgd60,pythagorean,elo,colley,bradley_terry,composite,logistic,random_forest,monte_carlo
points,1.0,0.6570121951219512,0.7134146341463414,0.8338414634146342,0.9504573170731707,0.9504573170731707,0.854420731707317,0.5213414634146342,0.7179878048780488,0.6570121951219512
xgd60,0.6570121951219512,1.0,0.8109756097560976,0.6692073170731707,0.6653963414634146,0.6653963414634146,0.7690548780487805,0.5807926829268293,0.7667682926829268,0.7987804878048781
pythagorean,0.7134146341463414,0.8109756097560976,1.0,0.6875,0.7233231707317073,0.7233231707317073,0.8163109756097561,0.5685975609756098,0.8048780487804879,0.7987804878048781
elo,0.8338414634146342,0.6692073170731707,0.6875,1.0,0.868140243902439,0.868140243902439,0.7782012195121951,0.5030487804878049,0.6646341463414634,0.6097560975609756
colley,0.9504573170731707,0.6653963414634146,0.7233231707317073,0.868140243902439,1.0,1.0,0.864329268292683,0.5160060975609756,0.7050304878048781,0.6471036585365854
bradley_terry,0.9504573170731707,0.6653963414634146,0.7233231707317073,0.868140243902439,1.0,1.0,0.864329268292683,0.5160060975609756,0.7050304878048781,0.6471036585365854
composite,0.854420731707317,0.7690548780487805,0.8163109756097561,0.7782012195121951,0.864329268292683,0.864329268292683,1.0,0.5495426829268293,0.78125,0.729420731707317
logistic,0.5213414634146342,0.5807926829268293,0.5685975609756098,0.5030487804878049,0.5160060975609756,0.5160060975609756,0.5495426829268293,1.0,0.6341463414634146,0.7484756097560976
random_forest,0.7179878048780488,0.7667682926829268,0.8048780487804879,0.6646341463414634,0.7050304878048781,0.7050304878048781,0.78125,0.6341463414634146,1.0,0.8140243902439024
monte_carlo,0.6570121951219512,0.7987804878048781,0.7987804878048781,0.6097560975609756,0.6471036585365854,0.6471036585365854,0.729420731707317,0.7484756097560976,0.8140243902439024,1.0
