rank,team,score,pyth_winpct,xgf,xga,optimal_k
1,thailand,0.6052513519471028,0.6052513519471028,294.737,221.662,1.5
2,brazil,0.5765180171617905,0.5765180171617905,272.479,221.827,1.5
3,pakistan,0.5738656929055727,0.5738656929055727,284.703,233.462,1.5
4,netherlands,0.5684569765023231,0.5684569765023231,242.499,201.803,1.5
5,mexico,0.5632859802450865,0.5632859802450865,263.958,222.765,1.5
6,china,0.5548232618392497,0.5548232618392497,255.917,220.979,1.5
7,uk,0.552637083364711,0.552637083364711,276.312,240.001,1.5
8,france,0.5486054731745668,0.5486054731745668,266.652,234.14,1.5
9,peru,0.5482576075462544,0.5482576075462544,244.55,214.934,1.5
10,guatemala,0.5350929361729471,0.5350929361729471,255.688,232.81,1.5
11,panama,0.5241366604083542,0.5241366604083542,257.455,241.394,1.5
12,serbia,0.5181602707212145,0.5181602707212145,277.288,264.174,1.5
13,south_korea,0.512701540857167,0.512701540857167,259.857,251.201,1.5
14,canada,0.5119268771315002,0.5119268771315002,241.134,233.584,1.5
15,morocco,0.5089393403412168,0.5089393403412168,249.503,243.625,1.5
16,new_zealand,0.5045881652177273,0.5045881652177273,241.265,238.331,1.5
17,india,0.5022062996118141,0.5022062996118141,239.336,237.932,1.5
18,saudi_arabia,0.47999795278902946,0.47999795278902946,218.965,230.968,1.5
19,germany,0.47883032210531695,0.47883032210531695,239.107,253.002,1.5
20,iceland,0.47086032174267173,0.47086032174267173,230.062,248.674,1.5
21,ethiopia,0.4652756072836294,0.4652756072836294,239.42,262.688,1.5
22,kazakhstan,0.4632936431219264,0.4632936431219264,209.805,231.421,1.5
23,indonesia,0.46298987957072035,0.46298987957072035,215.9,238.338,1.5
24,philippines,0.4624342133378526,0.4624342133378526,213.585,236.134,1.5
25,usa,0.4514581768495338,0.4514581768495338,247.393,281.697,1.5
26,oman,0.45066991831725045,0.45066991831725045,244.937,279.493,1.5
27,rwanda,0.4495989265614571,0.4495989265614571,223.809,256.122,1.5
28,uae,0.44891179418967064,0.44891179418967064,211.395,242.364,1.5
29,switzerland,0.4457504048647502,0.4457504048647502,205.292,237.382,1.5
30,singapore,0.4422940254215471,0.4422940254215471,257.021,299.984,1.5
31,vietnam,0.43058543154022194,0.43058543154022194,225.778,272.016,1.5
32,mongolia,0.36869961086710173,0.36869961086710173,187.599,268.497,1.5
