rank,team,score,elo
1,brazil,1633.08,1633.08
2,netherlands,1598.38,1598.38
3,thailand,1585.08,1585.08
4,iceland,1569.99,1569.99
5,china,1557.44,1557.44
6,peru,1556.68,1556.68
7,pakistan,1552.51,1552.51
8,new_zealand,1552.47,1552.47
9,ethiopia,1541.54,1541.54
10,india,1535.28,1535.28
11,serbia,1523.17,1523.17
12,guatemala,1522.22,1522.22
13,philippines,1512.63,1512.63
14,indonesia,1511.06,1511.06
15,morocco,1502.64,1502.64
16,south_korea,1489.62,1489.62
17,singapore,1484.74,1484.74
18,uae,1476.94,1476.94
19,saudi_arabia,1472.48,1472.48
20,switzerland,1472.28,1472.28
21,canada,1471.25,1471.25
22,panama,1470.98,1470.98
23,vietnam,1469.8,1469.8
24,uk,1467.06,1467.06
25,oman,1463.33,1463.33
26,mexico,1458.85,1458.85
27,germany,1456.1,1456.1
28,france,1437.14,1437.14
29,usa,1429.08,1429.08
30,kazakhstan,1428.85,1428.85
31,mongolia,1401.17,1401.17
32,rwanda,1396.15,1396.15
