rank,team,score,lr_score,es_xgf60,es_xga60
1,serbia,0.6948468754456947,0.6948468754456947,2.7292,2.5557
2,singapore,0.6757850889304555,0.6757850889304555,2.3747,2.719
3,uk,0.6635676990416179,0.6635676990416179,2.5616,2.478
4,usa,0.6628692162784473,0.6628692162784473,2.4222,2.5895
5,pakistan,0.6565949303820219,0.6565949303820219,2.967,2.0911
6,oman,0.644804827179382,0.644804827179382,2.5182,2.3837
7,ethiopia,0.6430946403211776,0.6430946403211776,2.3633,2.5011
8,thailand,0.6430933264888719,0.6430933264888719,2.9,2.0531
9,germany,0.6361525406812565,0.6361525406812565,2.2592,2.5397
10,panama,0.6315810694860768,0.6315810694860768,2.3905,2.3983
11,france,0.6275765335648869,0.6275765335648869,2.3001,2.4459
12,south_korea,0.6237548895454711,0.6237548895454711,2.6243,2.1487
13,canada,0.6162537737975385,0.6162537737975385,2.3713,2.3077
14,morocco,0.6158253730137532,0.6158253730137532,2.3494,2.323
15,brazil,0.6122827038892571,0.6122827038892571,2.7514,1.9628
16,iceland,0.6109482788671321,0.6109482788671321,2.3169,2.3162
17,india,0.6088216333477503,0.6088216333477503,2.2848,2.3282
18,guatemala,0.6058525615113743,0.6058525615113743,2.4866,2.1391
19,vietnam,0.6040820437596879,0.6040820437596879,2.1001,2.4494
20,china,0.5960612070276264,0.5960612070276264,2.4637,2.0901
21,new_zealand,0.5882682171035736,0.5882682171035736,2.249,2.2151
22,mexico,0.5864615126073823,0.5864615126073823,2.5253,1.9719
23,indonesia,0.58383100423139,0.58383100423139,1.8616,2.5076
24,mongolia,0.5780203170178417,0.5780203170178417,1.676,2.6221
25,rwanda,0.5763637844415016,0.5763637844415016,2.2503,2.1312
26,philippines,0.5662641149713213,0.5662641149713213,1.881,2.3692
27,saudi_arabia,0.5575055377354716,0.5575055377354716,1.9798,2.2258
28,peru,0.5532857641919997,0.5532857641919997,2.2294,1.9881
29,kazakhstan,0.5441945374854344,0.5441945374854344,1.7505,2.3246
30,uae,0.5428516499912794,0.5428516499912794,1.8046,2.2701
31,netherlands,0.5233026914357218,0.5233026914357218,2.0617,1.9195
32,switzerland,0.5175296414440476,0.5175296414440476,1.8243,2.0775
