team,expected_wins,rank
brazil,43.14915893272195,1.0
netherlands,41.10250488742079,2.0
peru,39.79139687074814,3.0
thailand,36.91729632319678,4.0
pakistan,36.24429799245019,5.0
china,35.36445467938221,6.0
india,34.60598872196783,7.0
iceland,33.82414237107759,8.0
panama,33.61860452924173,9.0
philippines,32.75134480993296,10.0
ethiopia,32.658771654270204,11.0
singapore,32.65526304820277,12.0
guatemala,31.955374707986063,13.0
uk,30.92322504885163,14.0
mexico,30.465470176147633,15.0
serbia,30.266462536079157,16.0
vietnam,29.739061458923768,17.0
uae,29.550800352441325,18.0
south_korea,29.517610360649197,19.0
new_zealand,29.47364711333713,20.0
indonesia,29.202044087539047,21.0
morocco,28.92509897107304,22.0
france,28.741689056822427,23.0
saudi_arabia,28.688323269847274,24.0
canada,28.304428631266944,25.0
switzerland,28.119340769213004,26.0
usa,27.79406493479754,27.0
germany,26.33172273839063,28.0
oman,26.304071091443067,29.0
rwanda,21.95708414964235,30.0
kazakhstan,21.903119002074508,31.0
mongolia,21.15413672286109,32.0
